,Unnamed: 0,Date,type,Month,Open,High,Low,Close,Price change,Price change Ratio,Volume,Final Price,# of OC,Final BBP,Final BSP,Hitorical HP,Historical LP,MA5,MA10,MA20,BBAND5UP,BBAND5LOW,BBAND10UP,BBAND10LOW,BBAND20UP,BBAND20LOW
69,69,2010-04-20,TX,201004,0.1018604259617813,0.10160787945113225,0.10249471458773785,0.10430170889805539,51,0.65%,0.2178917420842224,7877,36408,7875,7876,8196,7300,8042.6,8074.3,7987.05,7941.065696151327,7702.934303848673,8216.819656462685,8035.180343537316,8010.966985640208,7761.033014359792
70,70,2010-04-21,TX,201004,0.10775317787692566,0.10893172825995454,0.11078224101479915,0.1130566546005556,103,1.31%,0.18129154097074043,0,24967,7980,7981,8196,7300,8014.0,8052.3,7990.75,8013.107257284215,7738.892742715785,8126.932432567787,7911.067567432213,8077.447031926901,7836.552968073099
71,71,2010-04-22,TX,201005,0.10396498021719,0.10514353060021887,0.1040169133192389,0.10842663523865645,-31,-0.39%,0.2810168493856228,7923,47301,7924,7925,8161,7688,7987.6,8037.7,7999.55,8108.108703841698,7851.891296158302,8218.844793977058,8005.155206022941,8073.6589876574435,7848.3410123425565
72,72,2010-04-23,TX,201005,0.10783736004714202,0.10766899570670932,0.1119661733615222,0.11120464685579594,35,0.44%,0.19088857822578667,7959,46124,7958,7959,8161,7688,7941.0,8022.1,8005.05,8021.004166576248,7828.995833423752,8268.70270999393,8047.29729000607,8012.003525884756,7799.996474115244
73,73,2010-04-26,TX,201005,0.11844431349440189,0.12273760417543564,0.12321353065539112,0.1271992591969021,189,2.37%,0.21000662202928408,8146,47526,8145,8148,8162,7688,7912.2,8007.8,8012.8,8015.104815908993,7900.895184091007,8210.806985069894,7993.193014930107,8121.156955026665,7928.843044973335
74,74,2010-04-27,TX,201005,0.12442124757976261,0.12189578247327217,0.12651162790697673,0.12568398013300783,-16,-0.20%,0.14558899271576778,8129,47546,8129,8130,8162,7688,7977.4,8010.0,8025.9,8240.21192981388,8055.788070186119,7933.366960989335,7710.633039010665,8134.836266621775,7943.163733378225
75,75,2010-04-28,TX,201005,0.10867918174930549,0.11406684064315178,0.11052854122621565,0.11768667396245475,-94,-1.16%,0.28193657567507907,8036,48627,8035,8036,8162,7688,8028.2,8021.1,8034.55,8222.322045038009,8037.677954961992,7993.095217664942,7758.904782335058,8193.027045198749,7998.972954801251
76,76,2010-04-29,TX,201005,0.11499284451553161,0.11457193366444987,0.11822410147991544,0.11836013132418553,7,0.09%,0.16812351310916537,8043,45233,8043,8044,8162,7688,8039.2,8013.4,8038.25,8124.145723397143,7945.854276602857,8093.335960753858,7866.664039246142,8221.55149135414,8030.448508645862
77,77,2010-04-30,TX,201005,0.12273760417543564,0.12189578247327217,0.1144186046511628,0.11381429413250274,-54,-0.67%,0.3190420130969024,7989,46537,7989,7990,8162,7688,8062.8,8001.9,8045.1,8112.170513949225,7973.829486050775,8028.486665807726,7821.513334192274,8171.607891488546,7990.392108511454
78,78,2010-05-03,TX,201005,0.10564862362151696,0.10918427477060359,0.1068076109936575,0.10893172825995454,-58,-0.73%,0.2814607706080004,7932,47033,7931,7934,8162,7688,8069.0,7990.6,8043.3,8049.322466793062,7928.677533206938,8055.961420977852,7860.038579022148,8192.343910579742,8009.656089420258
79,79,2010-05-04,TX,201005,0.10926845694081994,0.10758481353649298,0.10443974630021141,0.10463843757892079,-52,-0.66%,0.31342555122262283,7881,47587,7880,7881,8162,7688,8025.6,8001.5,8037.9,7996.69505308621,7865.304946913789,8231.60771495502,8064.392285044979,8220.57372785293,8031.42627214707
80,80,2010-05-05,TX,201005,0.08586581362067514,0.0880545500463002,0.08761099365750528,0.08586581362067514,-224,-2.84%,0.3388615014838251,7655,48620,7657,7658,8162,7649,7975.6,8001.9,8027.1,7942.2562446667,7817.7437553333,8213.013794034485,8046.986205965514,8118.525825794112,7919.474174205888
81,81,2010-05-06,TX,201005,0.08190925162050677,0.08123579425877599,0.07602536997885835,0.07929960434379998,-76,-0.99%,0.31163760331591983,7578,47751,7579,7581,8162,7512,7900.0,7969.6,8003.65,7790.25164164092,7523.74835835908,8168.024960063892,7901.975039936108,8237.359991624122,7986.640008375878
82,82,2010-05-07,TX,201005,0.05741224008754946,0.07096556949238152,0.06241014799154334,0.07281757723714118,-76,-1.00%,0.38365830328894124,7504,49835,7503,7504,8162,7351,7807.2,7935.0,7978.55,7739.195380707435,7418.804619292565,8220.641211434735,7865.358788565266,8312.280094309019,8003.71990569098
83,83,2010-05-10,TX,201005,0.07525886017341527,0.0786261469820692,0.07763213530655391,0.08418217021634818,133,1.77%,0.25336374561597136,7635,48880,7637,7638,8162,7351,7709.8,7889.4,7948.6,7669.913549185288,7334.086450814712,8208.483575695313,7769.516424304687,8285.059116134653,7918.940883865348
84,84,2010-05-11,TX,201005,0.07576395319471337,0.08359289502483375,0.07966173361522198,0.07837360047142015,-67,-0.88%,0.33260736271552255,7570,49791,7568,7573,8162,7351,7651.0,7838.3,7924.15,7763.536951124958,7510.463048875042,8143.708744531107,7718.291255468893,8012.24727987543,7631.75272012457
85,85,2010-05-12,TX,201005,0.08081488340769424,0.08030979038639616,0.07847780126849895,0.07997306170553077,17,0.22%,0.3028597356093493,7586,50657,7586,7587,8162,7351,7588.6,7782.1,7901.6,7622.840131290871,7513.159868709129,8082.1976508271055,7677.8023491728945,8079.906449137834,7672.093550862166
86,86,2010-05-13,TX,201005,0.08653927098240592,0.0903274686421416,0.08854122621564482,0.09462075932317535,175,2.31%,0.28700365437912345,7763,48316,7761,7762,8162,7351,7574.6,7737.3,7875.35,7630.31558610939,7543.68441389061,7847.492545785918,7466.507454214082,8188.863657681273,7771.136342318727
